Month,Week since beginning,X,Y,Z,argos:altitude,argos:calcul-freq,argos:lat2,argos:lon2,argos:pass-duration,argos:sensor-1,argos:sensor-2,argos:sensor-3,individual-local-identifier,ECMWF Interim Full Daily SFC-FC Evaporation,ECMWF Interim Full Daily SFC Temperature (2 m above Ground),ECMWF Interim Full Daily SFC-FC Sunshine Duration,NCEP NARR SFC Visibility at Surface,ECMWF Interim Full Daily SFC Charnock Parameter,ECMWF Interim Full Daily PL V Velocity,ECMWF Interim Full Daily PL U Velocity,ECMWF Interim Full Daily SFC Total Cloud Cover,ECMWF Interim Full Daily SFC Surface Air Pressure,ECMWF Interim Full Daily SFC Total Atmospheric Water,ECMWF Interim Full Daily SFC Snow Temperature,NASA Distance to Coast (Signed),ECMWF Interim Full Daily SFC-FC Runoff,ECMWF Interim Full Daily SFC Ice Temperature at 0-7 cm,ECMWF Interim Full Daily SFC Soil Temperature at 1-7 cm,NCEP NARR SFC Snow Cover at Surface,ECMWF Interim Full Daily SFC Volumetric Soil Water Content at 1-7 cm
8.0,7.0,-0.28769191724488308,-0.16702679239197316,0.94304525792969818,0.0,401.65340420909087,63.527590909090897,10.428681818181817,440.86363636363637,136.86363636363637,152.09090909090909,86.63636363636364,30,-7.6994545454545438e-05,275.43968535454547,3568.8663260454546,5588.6755544090911,0.013678914454545455,0.6632199108636363,0.57088733259090896,0.91818590881818174,101999.47280454547,11.954874238,276.0942795272727,2.7454082735000003,1.6236363636363637e-07,271.46037772272734,276.11468384545452,0.0,0.0028647071363636363
8.0,8.0,-0.28770778357881188,-0.16713445314901668,0.94302110060494515,0.0,401.65337911764703,69.30217647058825,-56.759941176470591,411.8235294117647,110.52941176470588,119.23529411764706,80.705882352941174,30,-0.00043435294117647052,274.56124872941172,4371.616875562353,18192.774336705883,0.016004811764705883,-2.8366982080588237,-6.9110001301176478,0.89583049317647057,102126.30618823529,9.3835344048823544,276.19515404117641,3.2878125451764704,7.286470588235294e-07,271.45971543529413,276.22740467058827,0.0,0.0030416892941176467
8.75,9.0,-0.28774242397308436,-0.16709384932029525,0.9430178219976636,0.0,401.65336914374996,68.428562499999998,-9.8163750000000007,422.6875,150.6875,168.9375,76.1875,30,5.5268749999999998e-05,279.37052275625001,4932.3688979881244,18005.301853749999,0.016787276875,7.1352970901250004,-1.0940478011874999,0.73665160643749994,101056.12751875,18.6370216588125,275.43409548750003,3.090800812875,6.7450000000000006e-07,271.45974002499997,275.49222054999996,0.0,0.0028292635
9.0,10.0,-0.28780032523663057,-0.16762487836636644,0.94290632347784253,0.0,401.65336993333329,68.719800000000006,-51.104733333333336,394.33333333333331,99.466666666666669,105.26666666666667,51.333333333333336,30,-9.0899999999999994e-06,276.07031777333333,8091.9063699999997,13517.430259000002,0.016124886000000001,-0.023844906799999985,-3.0855480351333338,0.7570812331333332,100417.19063333332,11.437204484666665,275.12683390666666,1.1722660894000001,4.6722666666666672e-07,271.45995389333336,275.19089236666667,0.0,0.0029650797999999996
9.0,11.0,-0.28729917033131142,-0.16721132997076069,0.94313247549661894,0.0,401.65337408333335,72.384916666666655,23.733333333333331,383.25,148.41666666666666,166.0,101.5,30,-5.0099999999999998e-05,274.40767832500001,3052.5982879000003,6578.2550459166669,0.016688959833333333,-3.3286688236666664,-4.1093914809166661,0.9117285549166666,99966.618588333353,11.559456615916666,274.08249505000003,3.4821620016666661,5.8283333333333325e-07,271.46031318333331,274.11489460833332,0.0,0.00195543525
9.0,12.0,-0.28773292837398334,-0.16748296904757484,0.94295214409724304,0.0,401.65340255000007,70.44768181818182,-37.501181818181813,376.36363636363637,159.95454545454547,181.09090909090909,112.54545454545455,30,-0.00011167772727272729,272.67847210909093,1700.1640447654545,4763.7146145909092,0.018124219590909093,1.5411415228636365,-1.8601838267272726,0.9457635204999999,100386.67683772728,12.405730590954544,273.18294918181823,1.5405744222727273,4.7495454545454543e-07,271.45995467727278,273.21058957272726,0.0,0.002270746818181818
9.0,13.0,-0.28774206656998907,-0.1674725852384657,0.94295123630077382,0.0,401.65341992999993,72.958999999999989,-50.202500000000001,334.5,165.65000000000001,187.84999999999999,119.3,30,-0.00021935999999999999,270.45964061999996,2852.8777604500001,9774.0271448500025,0.015499361149999998,4.4490712217000006,1.2410755880499997,0.99850199350000024,101323.08074,7.8599881434999999,272.97908489000002,1.0374472495,5.4044999999999995e-07,271.456776225,272.99250241499999,0.0,0.0024715779500000005
10.0,14.0,-0.28801186471945461,-0.16721253722863946,0.94291484244751045,0.0,401.6534259,75.460499999999996,-74.942000000000007,183.0,148.25,165.75,109.25,30,-0.00031725000000000004,267.04358000000002,8483.6537520000002,10359.05159825,0.019434098,4.1500880864999994,7.2088269064999997,0.38825917924999997,100793.97515000001,3.5866421309999996,270.31426064999999,1.9863348374999998,7.5725000000000003e-07,266.44171525000002,270.35331380000002,0.0,0.002178251
10.0,15.0,-0.28828312694917391,-0.1640471104854419,0.94336821930480874,0.0,401.65343781999997,71.357799999999997,-36.072900000000004,402.60000000000002,156.0,175.30000000000001,144.09999999999999,30,-0.00012480999999999999,267.05044777000001,344.06434780999996,12343.189006037899,0.0157185465,1.7625152962000006,-1.7912198978,0.64919004429999994,100946.973067,6.4935281390000004,269.19856934000006,6.6860630986,4.4202999999999998e-06,265.59068886,269.22447115,0.022766589900000002,0.015490082399999999
10.0,16.0,-0.39187702034721733,-0.07705544844346425,0.91319800143494256,0.0,401.65340931111109,63.667722222222224,14.841666666666669,368.16666666666669,153.44444444444446,171.88888888888889,86.611111111111114,30,-0.00027803333333333339,267.31093937222226,800.41394158333321,9277.6516208480552,0.017950636499999995,-6.1629043401666657,-0.43114456988888894,0.90796781905555557,99375.552482222221,4.9973449452777778,269.1098839666667,3.8904553194444449,0.00028245388888888882,270.03224246666667,270.49524874999997,0.017855231000000003,0.15310888005555556
